repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noaccess_roc_auc,noaccess_pr_auc,noaccess_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noaccess_minus_ed,delta_pr_noaccess_minus_ed,delta_brier_noaccess_minus_ed,delta_roc_noaccess_minus_full,delta_pr_noaccess_minus_full,delta_brier_noaccess_minus_full,holdout_seed,cv_random_state,holdout_used,experiment_id
2,1,11,3065,766,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.728772077620265,0.3210636694922861,0.10864715865425745,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,0.046065245177782876,0.05595945389722384,-0.0040393552167182906,0.0021932372763188157,-0.003061268804582018,0.00037671891126728196,42,2021,False,B4
2,2,12,3065,766,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.6862508714850104,0.34759414639595243,0.10570572903037781,0.010101963746223519,0.007480979797384102,0.0013850339886920804,0.0015759353939110987,0.004055303353492912,0.0016550645785821105,-0.00852602835231242,-0.00342567644389119,0.00027003058989003015,42,2021,False,B4
2,3,13,3065,766,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.7321636067859632,0.3450359127802951,0.10534641477281341,0.02020392749244715,0.038257629814380356,-0.00298451500511418,0.01849000697187997,0.039904007498835214,-0.0029337483610104853,-0.0017139205205671804,0.0016463776844548583,5.076664410369469e-05,42,2021,False,B4
2,4,14,3065,766,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.7042615617011388,0.3377429474794833,0.10604366600786745,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,0.02492447129909381,0.0023224137074947526,0.0009683676724467905,0.0009150592609808994,-0.000550069244332263,-0.0003357460289062919,42,2021,False,B4
3,0,15,3064,767,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.6765285996055227,0.28055490890231277,0.11098800990610347,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,0.04885282515373013,0.038196063546866776,-0.0011417829587691553,-0.0016388212089569754,-0.0017543127686978077,0.00018424282621641586,42,2021,False,B4
3,1,16,3065,766,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.7411253776435045,0.3850253869888987,0.10261449638022371,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,0.038098419707180975,0.06695942190232057,-0.00452848420357288,0.0011474552637695812,0.010607148466253769,-0.00025514162304583754,42,2021,False,B4
3,2,17,3065,766,0.6521394957006739,0.29811920209194037,0.1075342146804546,0.7005504880316059,0.3215850841057663,0.1081647223117159,0.6928814199395771,0.3158314376788359,0.10866042096256853,0.048410992330932046,0.023465882013825934,0.0006305076312612956,0.040741924238903215,0.017712235586895553,0.001126206282113934,-0.00766906809202883,-0.005753646426930381,0.0004956986508526384,42,2021,False,B4
3,3,18,3065,766,0.7097954915175458,0.35050701448152966,0.10427956171244111,0.7280095282361143,0.4046178334284809,0.10156534134381794,0.7286921914943063,0.3999728549714743,0.10187812942989799,0.01821403671856847,0.054110818946951245,-0.002714220368623177,0.018896699976760467,0.049465840489944624,-0.002401432282543123,0.0006826632581919956,-0.004644978457006621,0.00031278808608005415,42,2021,False,B4
3,4,19,3065,766,0.7322870671624448,0.3170522335203517,0.10694956678634668,0.7218365094120381,0.32318764097179775,0.10696536287680306,0.7161282825935393,0.3199160568081168,0.10733383515741647,-0.010450557750406708,0.006135407451446029,1.5796090456376977e-05,-0.016158784568905515,0.002863823287765077,0.00038426837106979306,-0.005708226818498807,-0.0032715841636809517,0.0003684722806134161,42,2021,False,B4
4,0,20,3064,767,0.7105957767722474,0.3421450414950257,0.10484814933417869,0.7668958115790694,0.4028515136439046,0.1001641357259249,0.7646333681401555,0.40465622552390174,0.10052000927869825,0.056300034806822,0.060706472148878865,-0.0046840136082537814,0.05403759136790809,0.06251118402887601,-0.004328140055480434,-0.002262443438913908,0.001804711879997145,0.00035587355277334753,42,2021,False,B4
4,1,21,3065,766,0.6725395073204742,0.2877537644720995,0.1091134993114605,0.680259412038113,0.29615493361166995,0.10975590319234571,0.67825499651406,0.2910607835945026,0.1102126344648514,0.007719904717638837,0.008401169139570452,0.0006424038808852117,0.0057154891935857766,0.00330701912240311,0.0010991351533908983,-0.0020044155240530603,-0.005094150017167343,0.00045673127250568657,42,2021,False,B4
4,2,22,3065,766,0.7171014408552172,0.3240309809171237,0.10559537162026855,0.7280676272368116,0.35425926762989696,0.10479202128421666,0.7234778061817337,0.3477697292522459,0.10540475284945525,0.010966186381594412,0.030228286712773278,-0.000803350336051889,0.006376365326516531,0.02373874833512224,-0.00019061877081330558,-0.004589821055077881,-0.0064895383776510385,0.0006127315652385834,42,2021,False,B4
4,3,23,3065,766,0.7056922495933069,0.3214604136044977,0.10617130101700539,0.7215605391587265,0.3755100212848389,0.10324408510596983,0.7199192423890308,0.38069424093675497,0.1027490677296218,0.015868289565419635,0.05404960768034123,-0.0029272159110355633,0.014226992795723925,0.059233827332257294,-0.003422233287383586,-0.0016412967696957104,0.005184219651916067,-0.0004950173763480226,42,2021,False,B4
4,4,24,3065,766,0.6163069370206833,0.24567196476085573,0.11244884989066987,0.694108761329305,0.29493790931140496,0.10989521540129228,0.6941087613293052,0.2986697900743698,0.10976078646002388,0.0778018243086217,0.04926594455054922,-0.002553634489377593,0.07780182430862193,0.052997825313514046,-0.0026880634306459955,2.220446049250313e-16,0.003731880762964823,-0.00013442894126840244,42,2021,False,B4
