repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,nohealth_roc_auc,nohealth_pr_auc,nohealth_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_nohealth_minus_ed,delta_pr_nohealth_minus_ed,delta_brier_nohealth_minus_ed,delta_roc_nohealth_minus_full,delta_pr_nohealth_minus_full,delta_brier_nohealth_minus_full,holdout_seed,cv_random_state,holdout_used
2,0,10,3064,767,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.6941350504698921,0.3464038388819142,0.10575153479953787,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,0.024473546815175884,0.04357429744425373,-0.0023307673986064786,0.012008353637312896,0.01874595462679074,-0.0016585157223645841,42,2021,False
2,1,11,3065,766,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.7218655589123867,0.3189664826517887,0.108714635967967,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,0.03915872646990459,0.05386226705672642,-0.003971877903008736,-0.0047132814315594684,-0.0051584556450794405,0.00044419622497683664,42,2021,False
2,2,12,3065,766,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.688531257262375,0.3546624018049116,0.1056648102619695,0.010101963746223519,0.007480979797384102,0.0013850339886920804,0.003856321171275656,0.01112355876245208,0.0016141458101738004,-0.006245642574947863,0.0036425789650679774,0.00022911182148172005,42,2021,False
2,3,13,3065,766,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.7386416453636998,0.3454811703255678,0.10543556323192964,0.02020392749244715,0.038257629814380356,-0.00298451500511418,0.024968045549616624,0.04034926504410791,-0.002844599901894257,0.004764118057169475,0.002091635229727551,0.00013991510321992306,42,2021,False
2,4,14,3065,766,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.7258162909597954,0.3561012862000074,0.10461458127211531,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,0.046479200557750344,0.020680752428018867,-0.00046071706330534645,0.022469788519637435,0.01780826947619185,-0.0017648307646584288,42,2021,False
3,0,15,3064,767,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.6779498781761226,0.2851158731744973,0.11068771398169935,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,0.050274103724330055,0.04275702781905133,-0.00144207888317327,-0.0002175426383570489,0.0028066515034867456,-0.00011605309818769893,42,2021,False
3,1,16,3065,766,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.7364338833372067,0.3655532259385047,0.10417774430066638,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,0.03340692540088319,0.04748726085192656,-0.00296523628313021,-0.003544039042528202,-0.008865012584140242,0.0013081062973968327,42,2021,False
3,2,17,3065,766,0.6521394957006739,0.29811920209194037,0.1075342146804546,0.7005504880316059,0.3215850841057663,0.1081647223117159,0.7021336858006043,0.3210659459350181,0.10836614610961644,0.048410992330932046,0.023465882013825934,0.0006305076312612956,0.04999419009993045,0.02294674384307771,0.000831931429161839,0.0015831977689984011,-0.0005191381707482234,0.00020142379790054343,42,2021,False
3,3,18,3065,766,0.7097954915175458,0.35050701448152966,0.10427956171244111,0.7280095282361143,0.4046178334284809,0.10156534134381794,0.7338339530560074,0.4138009406716653,0.1008306599879981,0.01821403671856847,0.054110818946951245,-0.002714220368623177,0.024038461538461564,0.06329392619013563,-0.00344890172444301,0.005824424819893093,0.009183107243184385,-0.0007346813558198328,42,2021,False
3,4,19,3065,766,0.7322870671624448,0.3170522335203517,0.10694956678634668,0.7218365094120381,0.32318764097179775,0.10696536287680306,0.7276173599814084,0.3360931816630942,0.10579724357743564,-0.010450557750406708,0.006135407451446029,1.5796090456376977e-05,-0.004669707181036431,0.019040948142742486,-0.001152323208911038,0.005780850569370277,0.012905540691296458,-0.001168119299367415,42,2021,False
4,0,20,3064,767,0.7105957767722474,0.3421450414950257,0.10484814933417869,0.7668958115790694,0.4028515136439046,0.1001641357259249,0.7730885253509688,0.4016532575708413,0.10000885010282486,0.056300034806822,0.060706472148878865,-0.0046840136082537814,0.062492748578721447,0.05950821607581558,-0.00483929923135383,0.00619271377189945,-0.0011982560730632863,-0.00015528562310004879,42,2021,False
4,1,21,3065,766,0.6725395073204742,0.2877537644720995,0.1091134993114605,0.680259412038113,0.29615493361166995,0.10975590319234571,0.6885385196374622,0.3095906032731745,0.10899549211136757,0.007719904717638837,0.008401169139570452,0.0006424038808852117,0.01599901231698797,0.02183683880107501,-0.00011800720009293164,0.008279107599349134,0.013435669661504557,-0.0007604110809781434,42,2021,False
4,2,22,3065,766,0.7171014408552172,0.3240309809171237,0.10559537162026855,0.7280676272368116,0.35425926762989696,0.10479202128421666,0.7322580176620962,0.36655968572936626,0.1033674552850493,0.010966186381594412,0.030228286712773278,-0.000803350336051889,0.015156576806878985,0.04252870481224258,-0.0022279163352192516,0.004190390425284574,0.012300418099469301,-0.0014245659991673626,42,2021,False
4,3,23,3065,766,0.7056922495933069,0.3214604136044977,0.10617130101700539,0.7215605391587265,0.3755100212848389,0.10324408510596983,0.7221851034162212,0.3692859211474852,0.10388597261187163,0.015868289565419635,0.05404960768034123,-0.0029272159110355633,0.016492853822914322,0.04782550754298753,-0.002285328405133763,0.0006245642574946864,-0.006224100137353694,0.0006418875059018003,42,2021,False
4,4,24,3065,766,0.6163069370206833,0.24567196476085573,0.11244884989066987,0.694108761329305,0.29493790931140496,0.10989521540129228,0.6894027422728328,0.29457447977063433,0.1099666676086011,0.0778018243086217,0.04926594455054922,-0.002553634489377593,0.07309580525214954,0.0489025150097786,-0.0024821822820687706,-0.004706019056472166,-0.0003634295407706212,7.145220730882251e-05,42,2021,False
