repeat,fold,fold_index,n_cv_train,n_cv_val,val_prevalence,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,delta_roc_auc,delta_pr_auc,delta_brier,cv_random_state,n_splits,n_repeats
3,0,15,3064,767,0.13559322033898305,0.6221066829098504,0.2229289428456176,0.11353590952459092,0.6785444947209653,0.2832292356018009,0.11167694865142463,0.05643781181111496,0.060300292756183316,-0.0018589608731662821,2021,5,5
3,1,16,3065,766,0.13577023498694518,0.6705568789216826,0.2871876222008048,0.10822180759651139,0.738409249360911,0.36918516484965724,0.10354444081839544,0.06785237043922843,0.08199754264885245,-0.004677366778115949,2021,5,5
3,2,17,3065,766,0.13577023498694518,0.6413476063211714,0.29195147256212767,0.10730432853519349,0.6989237160120847,0.32358796373874604,0.10788725615649288,0.05757610969091331,0.031636491176618375,0.0005829276212993839,2021,5,5
3,3,18,3065,766,0.13577023498694518,0.6979505577504067,0.34318129984316176,0.10450646211310496,0.7288664884963979,0.40283282863401565,0.10167837390482987,0.030915930745991194,0.05965152879085389,-0.002828088208275098,2021,5,5
3,4,19,3065,766,0.13577023498694518,0.702024750174297,0.29166842468817894,0.10787434052075107,0.7162880548454567,0.3236531391871021,0.10729322203389637,0.01426330467115966,0.03198471449892315,-0.0005811184868547009,2021,5,5
4,0,20,3064,767,0.13559322033898305,0.6776743241675368,0.30152001080950736,0.10621759476930281,0.7609641489731989,0.3964580319886689,0.10081681238948009,0.08328982480566205,0.09493802117916156,-0.005400782379822722,2021,5,5
4,1,21,3065,766,0.13577023498694518,0.6579493957703928,0.27591240779591764,0.10923497089517335,0.6772092145015105,0.2945023887405898,0.10984118040779348,0.019259818731117706,0.01858998094467218,0.0006062095126201233,2021,5,5
4,2,22,3065,766,0.13577023498694518,0.7037749825702997,0.31725360569551597,0.10591002685455837,0.7298686962584244,0.3631930151483974,0.10452379453154273,0.026093713688124742,0.04593940945288144,-0.0013862323230156431,2021,5,5
4,3,23,3065,766,0.13577023498694518,0.6852414013478967,0.3002010174058489,0.10744230141739872,0.7196142226353707,0.3662702694292872,0.10396576099871234,0.03437282128747399,0.06606925202343827,-0.0034765404186863774,2021,5,5
4,4,24,3065,766,0.13577023498694518,0.6110344527074134,0.2366909532011297,0.11181052460807057,0.6966796421101558,0.29811409081337803,0.10927875534217885,0.08564518940274235,0.061423137612248324,-0.0025317692658917285,2021,5,5
