repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noses_roc_auc,noses_pr_auc,noses_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noses_minus_ed,delta_pr_noses_minus_ed,delta_brier_noses_minus_ed,delta_roc_noses_minus_full,delta_pr_noses_minus_full,delta_brier_noses_minus_full,holdout_seed,cv_random_state,holdout_used,experiment_id
2,0,10,3064,767,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.6801615616660865,0.33382642719405764,0.1067821567270232,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,0.010500058011370328,0.030996885756397197,-0.0013001454711211585,-0.0019651351664926597,0.006168542938934207,-0.000627893794879264,42,2021,False,B5
2,1,11,3065,766,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.7215678015338137,0.3214530119961499,0.10843363700284976,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,0.03886096909133163,0.05634879640108764,-0.0042528768681259765,-0.005011038810132429,-0.0026719263007182192,0.000163197259859596,42,2021,False,B5
2,2,12,3065,766,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.6923076923076923,0.3527301526799145,0.1053196690263593,0.010101963746223519,0.007480979797384102,0.0013850339886920804,0.007632756216592984,0.009191309637454959,0.0012690045745635953,-0.002469207529630535,0.0017103298400708566,-0.00011602941412848511,42,2021,False,B5
2,3,13,3065,766,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.7436091099233092,0.3556179976062537,0.10438350666886449,0.02020392749244715,0.038257629814380356,-0.00298451500511418,0.029935510109226016,0.050486092324793785,-0.0038966564649594027,0.009731582616778867,0.01222846251041343,-0.0009121414598452227,42,2021,False,B5
2,4,14,3065,766,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.7061062049732745,0.3377319307034269,0.10612753916902289,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,0.026769114571229435,0.0023113969314383365,0.0010522408336022249,0.002759702533116526,-0.0005610860203886792,-0.0002518728677508575,42,2021,False,B5
3,0,15,3064,767,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.6863035154890359,0.2882411769645548,0.1105943368524047,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,0.05862774103724333,0.04588233160910882,-0.00153545601246792,0.008136094674556227,0.005931955293544233,-0.00020943022748234896,42,2021,False,B5
3,1,16,3065,766,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.7441174761794097,0.37364416943940115,0.10262232473039327,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,0.04109051824308618,0.05557820435282301,-0.004520655853403319,0.004139553799674789,-0.0007740690832437891,-0.00024731327287627614,42,2021,False,B5
3,2,17,3065,766,0.6521394957006739,0.29811920209194037,0.1075342146804546,0.7005504880316059,0.3215850841057663,0.1081647223117159,0.7099480013943761,0.34459918753163526,0.1057256163195882,0.048410992330932046,0.023465882013825934,0.0006305076312612956,0.05780850569370222,0.04647998543969489,-0.0018085983608664008,0.009397513362770171,0.02301410342586896,-0.0024391059921276964,42,2021,False,B5
3,3,18,3065,766,0.7097954915175458,0.35050701448152966,0.10427956171244111,0.7280095282361143,0.4046178334284809,0.10156534134381794,0.7210812224029747,0.39931385315084467,0.10179864860663469,0.01821403671856847,0.054110818946951245,-0.002714220368623177,0.011285730885428835,0.04880683866931501,-0.0024809131058064204,-0.006928305833139636,-0.005303980277636233,0.0002333072628167565,42,2021,False,B5
3,4,19,3065,766,0.7322870671624448,0.3170522335203517,0.10694956678634668,0.7218365094120381,0.32318764097179775,0.10696536287680306,0.7328753195445037,0.3475489832087283,0.10485905811007189,-0.010450557750406708,0.006135407451446029,1.5796090456376977e-05,0.0005882523820588403,0.030496749688376568,-0.002090508676274791,0.011038810132465549,0.02436134223693054,-0.002106304766731168,42,2021,False,B5
4,0,20,3064,767,0.7105957767722474,0.3421450414950257,0.10484814933417869,0.7668958115790694,0.4028515136439046,0.1001641357259249,0.7676064508643694,0.412011286799019,0.09979023022968653,0.056300034806822,0.060706472148878865,-0.0046840136082537814,0.057010674092122016,0.06986624530399327,-0.005057919104492159,0.0007106392853000187,0.009159773155114403,-0.00037390549623837754,42,2021,False,B5
4,1,21,3065,766,0.6725395073204742,0.2877537644720995,0.1091134993114605,0.680259412038113,0.29615493361166995,0.10975590319234571,0.6836945154543341,0.30244755477138086,0.1092147384306423,0.007719904717638837,0.008401169139570452,0.0006424038808852117,0.011155008133859945,0.014693790299281362,0.00010123911918180628,0.003435103416221108,0.006292621159710909,-0.0005411647617034054,42,2021,False,B5
4,2,22,3065,766,0.7171014408552172,0.3240309809171237,0.10559537162026855,0.7280676272368116,0.35425926762989696,0.10479202128421666,0.7396002788752034,0.367758109375803,0.1031989727954087,0.010966186381594412,0.030228286712773278,-0.000803350336051889,0.0224988380199862,0.04372712845867932,-0.002396398824859855,0.011532651638391789,0.013498841745906043,-0.001593048488807966,42,2021,False,B5
4,3,23,3065,766,0.7056922495933069,0.3214604136044977,0.10617130101700539,0.7215605391587265,0.3755100212848389,0.10324408510596983,0.722962177550546,0.37875741511336675,0.1031719097581753,0.015868289565419635,0.05404960768034123,-0.0029272159110355633,0.01726992795723914,0.05729700150886907,-0.0029993912588300864,0.0014016383918195041,0.0032473938285278448,-7.217534779452306e-05,42,2021,False,B5
4,4,24,3065,766,0.6163069370206833,0.24567196476085573,0.11244884989066987,0.694108761329305,0.29493790931140496,0.10989521540129228,0.6904485242853823,0.29672655135332476,0.10977881215732653,0.0778018243086217,0.04926594455054922,-0.002553634489377593,0.074141587264699,0.05105458659246903,-0.0026700377333433445,-0.0036602370439227094,0.001788642041919808,-0.00011640324396575141,42,2021,False,B5
