repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noage_roc_auc,noage_pr_auc,noage_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noage_minus_ed,delta_pr_noage_minus_ed,delta_brier_noage_minus_ed,delta_roc_noage_minus_full,delta_pr_noage_minus_full,delta_brier_noage_minus_full,holdout_seed,cv_random_state,holdout_used
2,0,10,3064,767,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.6778338554356653,0.33774492075861157,0.1068618598371689,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,0.008172351780949105,0.03491537932095112,-0.00122044236097546,-0.004292841396913882,0.010087036503488134,-0.0005481906847335655,42,2021,False
2,1,11,3065,766,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.722809667673716,0.31440513133640063,0.1093540898894943,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,0.040102835231233924,0.04930091574133838,-0.003332423981481439,-0.0037691726702301365,-0.00971980696046748,0.0010836501465041337,42,2021,False
2,2,12,3065,766,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.6898675342784104,0.3502596474374191,0.10519791208266659,0.010101963746223519,0.007480979797384102,0.0013850339886920804,0.005192598187311104,0.00672080439495959,0.0011472476308708873,-0.004909365558912415,-0.0007601754024245122,-0.00023778635782119306,42,2021,False
2,3,13,3065,766,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.7396002788752034,0.3443510010543177,0.10572249691060194,0.02020392749244715,0.038257629814380356,-0.00298451500511418,0.025926679061120228,0.039219095772857815,-0.002557666223221955,0.005722751568673079,0.0009614659584774587,0.0004268487818922251,42,2021,False
2,4,14,3065,766,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.6857279804787356,0.33989493651600194,0.106495402278964,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,0.006390890076690581,0.004474402744013395,0.0014201039435433327,-0.01761852196142233,0.0016019197921863793,0.00011599024219025034,42,2021,False
3,0,15,3064,767,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.6747302471284371,0.2970016056806512,0.11010434600324509,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,0.04705447267664453,0.05464276032520521,-0.0020254468616275334,-0.0034371736860425717,0.014692384009640624,-0.0006994210766419623,42,2021,False
3,1,16,3065,766,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.7341825470601906,0.3697227768801521,0.1033054012171161,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,0.031155589123867067,0.051656811793573953,-0.003837579366680499,-0.005795375319544327,-0.004695461642492849,0.0004357632138465434,42,2021,False
3,2,17,3065,766,0.6521394957006739,0.29811920209194037,0.1075342146804546,0.7005504880316059,0.3215850841057663,0.1081647223117159,0.7031286311875435,0.3236734553100376,0.10785416675106205,0.048410992330932046,0.023465882013825934,0.0006305076312612956,0.050989135486869674,0.025554253218097234,0.0003199520706074488,0.002578143155937629,0.0020883712042713,-0.0003105555606538468,42,2021,False
3,3,18,3065,766,0.7097954915175458,0.35050701448152966,0.10427956171244111,0.7280095282361143,0.4046178334284809,0.10156534134381794,0.7189242970020915,0.39195541499860553,0.10244029733007658,0.01821403671856847,0.054110818946951245,-0.002714220368623177,0.009128805484545643,0.04144840051707588,-0.001839264382364536,-0.009085231234022828,-0.012662418429875366,0.0008749559862586409,42,2021,False
3,4,19,3065,766,0.7322870671624448,0.3170522335203517,0.10694956678634668,0.7218365094120381,0.32318764097179775,0.10696536287680306,0.709650244015803,0.3168240761509496,0.10773898224523934,-0.010450557750406708,0.006135407451446029,1.5796090456376977e-05,-0.022636823146641838,-0.0002281573694021266,0.0007894154588926616,-0.01218626539623513,-0.0063635648208481554,0.0007736193684362846,42,2021,False
4,0,20,3064,767,0.7105957767722474,0.3421450414950257,0.10484814933417869,0.7668958115790694,0.4028515136439046,0.1001641357259249,0.7564827706230421,0.38708658515006367,0.10091755702038069,0.056300034806822,0.060706472148878865,-0.0046840136082537814,0.045886993850794755,0.04494154365503794,-0.003930592313797998,-0.010413040956027242,-0.015764928493840924,0.0007534212944557833,42,2021,False
4,1,21,3065,766,0.6725395073204742,0.2877537644720995,0.1091134993114605,0.680259412038113,0.29615493361166995,0.10975590319234571,0.67097083430165,0.2972315646682086,0.11006114553543825,0.007719904717638837,0.008401169139570452,0.0006424038808852117,-0.0015686730188241294,0.00947780019610911,0.0009476462239777494,-0.009288577736462966,0.0010766310565386572,0.0003052423430925377,42,2021,False
4,2,22,3065,766,0.7171014408552172,0.3240309809171237,0.10559537162026855,0.7280676272368116,0.35425926762989696,0.10479202128421666,0.7238772368115268,0.3572864875886971,0.10411219977348939,0.010966186381594412,0.030228286712773278,-0.000803350336051889,0.006775795956309616,0.0332555066715734,-0.001483171846779166,-0.004190390425284796,0.0030272199588001203,-0.000679821510727277,42,2021,False
4,3,23,3065,766,0.7056922495933069,0.3214604136044977,0.10617130101700539,0.7215605391587265,0.3755100212848389,0.10324408510596983,0.7254894840808737,0.36230960772258297,0.10411335497202967,0.015868289565419635,0.05404960768034123,-0.0029272159110355633,0.01979723448756676,0.0408491941180853,-0.0020579460449757225,0.003928944922147126,-0.01320041356225593,0.0008692698660598408,42,2021,False
4,4,24,3065,766,0.6163069370206833,0.24567196476085573,0.11244884989066987,0.694108761329305,0.29493790931140496,0.10989521540129228,0.6826487334417847,0.29246934664703567,0.1100420546483617,0.0778018243086217,0.04926594455054922,-0.002553634489377593,0.06634179642110138,0.046797381886179934,-0.0024067952423081768,-0.011460027887520319,-0.0024685626643692893,0.0001468392470694163,42,2021,False
